,symbol,close,relative_strength_sp500,rank
0,AMR,173.2799987793,1.7856911127,1.00
1,LWLG,6.9400000572,1.9816336938,1.00
2,VTNR,15.3699998856,1.7203364501,1.00
3,BTU,26.2800006866,1.5287391758,1.00
4,MTR,22.7000007629,1.8781122389,1.00
5,RDBX,6.6300001144,1.7607464049,1.00
6,SQFTP,23.6770000458,2.8620226655,1.00
7,TROO,2.6199998856,1.5910860980,1.00
8,SD,25.4899997711,1.5963931776,1.00
9,DWACU,49.0000000000,2.1021036321,1.00
10,SIGA,12.8699998856,1.4774824996,1.00
11,ATIF,2.5999999046,1.8813848744,1.00
12,HDSN,10.0500001907,1.6682487090,1.00
13,AEHR,9.5500001907,1.6411560743,1.00
14,DWAC,44.1399993896,1.7151887339,1.00
15,ZIVO,3.5000000000,6.2542935285,1.00
16,LGVN,8.0699996948,2.1321030332,1.00
17,LIDRW,1.2500000000,1.4859685036,1.00
18,PECO,35.1599998474,1.7701242304,1.00
19,PBF,35.4799995422,1.4833065658,1.00
20,METX,1.6499999762,3.5344326667,1.00
21,NEXT,7.1500000954,1.5700876371,1.00
22,BTCS,2.3699998856,2.8829058102,1.00
23,GREE,4.6399998665,2.2056351289,1.00
24,UONE,13.0000000000,1.5296406566,1.00
25,AR,45.0900001526,1.5000067606,1.00
26,RCMT,24.2099990845,2.0920149085,1.00
27,BORR,6.5599999428,1.7071868037,1.00
28,CRK,20.4599990845,1.6229025191,1.00
29,PVL,5.1399998665,1.5501308728,1.00
30,HYMCL,0.3000000119,2.1651360250,1.00
31,HYMC,1.4299999475,2.1816238566,1.00
32,IVT,31.8299999237,4.2219900804,1.00
33,SXTC,1.9299999475,3.9354713769,1.00
34,HUDI,24.2399997711,1.7487292173,1.00
35,NINE,3.3599998951,1.6170137816,1.00
36,SANG,9.1999998093,1.9772949504,1.00
37,HPKEW,21.8299999237,1.9577033764,1.00
38,FICV,9.6899995804,1959.4369044163,1.00
39,BPT,20.5900001526,1.8678033908,1.00
40,TBSA,9.7600002289,1.5987695203,1.00
41,NURO,4.2600002289,1.7374367686,1.00
42,SJT,13.2299995422,1.4651157104,0.99
43,SITM,226.9499969482,1.3194165509,0.99
44,RENN,28.4699993134,1.3371816467,0.99
45,CEIX,56.6300010681,1.4758487394,0.99
46,FRGE,18.4799995422,1.3597380863,0.99
47,SGML,17.2399997711,1.4459156719,0.99
48,KOS,8.2899999619,1.3755342315,0.99
49,RGC,36.0000000000,1.4100605511,0.99
50,VRTV,159.2599945068,1.2843987048,0.99
51,CARV,11.5100002289,1.3502624982,0.99
52,LNTH,70.8399963379,1.3791842202,0.99
53,CPSS,13.6599998474,1.2976484868,0.99
54,SBR,79.0000000000,1.2918308241,0.99
55,SBOW,40.7999992371,1.3141341867,0.99
56,PDS,81.9599990845,1.3323291098,0.99
57,LVLU,18.8299999237,1.3963594627,0.99
58,GDYN,19.5100002289,1.3918060740,0.99
59,LXU,21.3099994659,1.4159541783,0.99
60,RRC,35.0000000000,1.3091229059,0.99
61,VHI,49.9799995422,1.4088699532,0.99
62,VET,22.8199996948,1.3468247066,0.99
63,VERU,13.2100000381,1.4738140611,0.99
64,DVN,76.3099975586,1.3389901649,0.99
65,VAL,61.6500015259,1.3410352134,0.99
66,GLOP,6.0999999046,1.3810794578,0.99
67,CHKEZ,73.9800033569,1.3694623693,0.99
68,CHKEW,78.1500015259,1.3500892180,0.99
69,CHKEL,70.6399993896,1.4058903047,0.99
70,NEON,7.2699999809,1.2867211702,0.99
71,TWI,19.2199993134,1.3426057113,0.99
72,GRIN,26.3700008392,1.3460914554,0.99
73,NC,59.6699981689,1.4239028825,0.99
74,NRP,47.0900001526,1.3001251695,0.99
75,EQT,48.8699989319,1.4456342086,0.99
76,TRVI,2.5099999905,1.3977368155,0.99
77,DMLP,32.2500000000,1.2881111963,0.99
78,NRT,19.0900001526,1.3601597509,0.99
79,PBT,18.3500003815,1.4659856168,0.99
80,NEX,11.2899999619,1.3781287153,0.99
81,FLNG,30.0400009155,1.2952867886,0.99
82,CLMT,14.3400001526,1.2942407086,0.99
83,HMLP,9.0799999237,1.2895920201,0.99
84,TH,6.5500001907,1.4195495204,0.99
85,AMPY,9.1099996567,1.4363220791,0.99
86,TGA,4.9099998474,1.3282042598,0.99
87,CISO,6.0199999809,1.2936327563,0.99
88,CCXI,23.0799999237,1.2927838665,0.99
89,TDW,27.2000007629,1.3784071831,0.99
90,HPK,32.7400016785,1.4218840804,0.99
91,SWN,9.3699998856,1.3259589788,0.99
92,MRO,31.2000007629,1.3122546611,0.99
93,OXY,69.3000030518,1.3404379687,0.99
94,DDS,310.5000000000,1.2889698551,0.99
95,STNG,35.1899986267,1.3925225686,0.99
96,PRPH,9.7399997711,1.2988167634,0.99
97,ARCH,161.1000061035,1.3234185885,0.99
98,MRIN,2.0299999714,1.4049196587,0.99
