,symbol,close,volume,relative_strength_sp500,rank
0,RCMT,25.8649997711,95650,2.2516147688,1.00
1,AMR,179.6000061035,172358,1.7384383573,1.00
2,BORR,6.3699998856,480947,1.5375978962,1.00
3,PVL,5.5300002098,225997,1.5228103541,1.00
4,HPKEW,25.2299995422,556,1.9438370086,1.00
5,SD,28.9836006165,418897,1.5946815921,1.00
6,BPT,25.4500007629,305675,2.0161909851,1.00
7,ELC,24.3400001526,3978,14.1309490345,1.00
8,MTR,22.2315006256,22392,1.7727869600,1.00
9,HDSN,10.4300003052,1440377,1.7041971204,1.00
10,IVT,30.9699993134,55414,4.5580132579,1.00
11,SJT,14.4449996948,756540,1.5344804980,1.00
12,CRK,22.0100002289,805149,1.6177959657,1.00
13,TGA,5.3600001335,1025178,1.3446336003,0.99
14,SBOW,49.0000000000,167205,1.3561680045,0.99
15,RRC,36.7799987793,1288578,1.3008124327,0.99
16,BLU,8.7315998077,165140,1.3057304602,0.99
17,NEX,12.0450000763,2069449,1.3806335204,0.99
18,RENN,29.0300006866,16795,1.3635121502,0.99
19,WTI,8.8549995422,2574253,1.3040715701,0.99
20,IRTC,149.8820037842,93985,1.2995203648,0.99
21,CPG,10.9302997589,5305168,1.3222141891,0.99
22,CHKEW,82.8099975586,12554,1.3411657348,0.99
23,SGML,17.5849990845,112318,1.4425379549,0.99
24,EQT,49.7200012207,940544,1.4273449766,0.99
25,SRRA,54.8849983215,52920,1.4677500323,0.99
26,STNG,36.9000015259,726763,1.4116488298,0.99
27,GLOP,6.6500000954,797229,1.3150505092,0.99
28,PBT,20.8799991608,326766,1.5124063451,0.99
29,PDS,86.4300003052,20791,1.3150046110,0.99
30,KOS,8.2416000366,1819541,1.3232745114,0.99
31,VHI,51.6800003052,15046,1.4866425368,0.99
32,ARLP,20.6900005341,97795,1.3785160066,0.99
33,NRT,18.9312992096,11062,1.3508098880,0.99
34,DVN,78.0100021362,2867461,1.3059494330,0.99
35,CHKEL,73.5899963379,1261,1.3878809104,0.99
36,PRPH,11.3999996185,73207,1.4018258000,0.99
37,VET,25.2516994476,1521570,1.3538903323,0.99
38,AMPY,9.7100000381,110386,1.4308476271,0.99
39,AR,48.1100006104,990340,1.5082251331,0.99
40,ARCH,173.8000030518,212887,1.3257021452,0.99
41,EGY,8.4399995804,422868,1.3642000147,0.99
42,SWN,9.8380002975,12526188,1.3129838061,0.99
43,ASC,7.8800001144,204274,1.3344949204,0.99
