,symbol,open,close,high,low,volume,relative_strength,relative_strength_sp500,rank
0,SD,26.0000000000,26.8700008392,27.3799991608,25.6000003815,906500,1.5511935483,1.5519787707,1.00
1,PVL,5.4000000954,5.6799998283,5.6900000572,5.4000000954,477100,1.6062692938,1.6070823959,1.00
2,SJT,13.2600002289,13.4499998093,14.0100002289,12.9700002670,1251300,1.5128323866,1.5135981905,1.00
3,PBT,22.1200008392,21.3400001526,23.0799999237,20.7399997711,535000,1.5914155681,1.5922211512,1.00
4,CRK,19.7900009155,20.0599994659,20.4699993134,19.4500007629,2188000,1.5643908422,1.5651827452,1.00
5,BTU,25.5400009155,26.0799999237,27.1569995880,25.1499996185,4255600,1.5672848845,1.5680782524,1.00
6,AR,45.0900001526,45.0800018311,45.9599990845,43.6500015259,6668000,1.4856532432,1.4864052888,1.00
7,BORR,6.1500000954,6.1100001335,6.4200000763,5.8800001144,945900,1.5535918712,1.5543783077,1.00
8,HPK,34.8699989319,35.7599983215,36.5169982910,33.7500000000,355300,1.5450893130,1.4958167003,1.00
9,BPT,24.1399993896,24.8299999237,25.8299999237,23.5100002289,679000,2.0086444180,2.0096612045,1.00
10,RCMT,25.1100006104,24.7199993134,25.2800006866,23.3099994659,187500,2.2858001549,2.2129064103,1.00
11,HPKEW,24.8799991608,23.0799999237,24.8799991608,23.0799999237,900,2.0323953619,1.9675826493,1.00
12,AMR,164.1399993896,159.9499969482,168.6900024414,156.6999969482,766900,1.7817979676,1.7826999232,1.00
13,BLU,8.0100002289,8.1000003815,8.1599998474,7.7699999809,598800,1.3234903064,1.2812844450,0.99
14,ASC,7.5100002289,7.6199998856,7.7600002289,7.4099998474,406000,1.3555082291,1.3561943946,0.99
15,VET,23.6299991608,23.2399997711,24.0000000000,22.6499996185,3136300,1.3466782325,1.3473599282,0.99
16,VHI,50.0000000000,47.3800010681,50.0000000000,45.7999992371,57900,1.3793072927,1.3800055054,0.99
17,VLO,142.0000000000,140.5099945068,143.3200073242,138.3899993896,4770800,1.3077925563,1.3077925563,0.99
18,VTNR,15.8599996567,16.0499992371,16.3299999237,15.5200004578,3530500,1.4876544428,1.4402134175,0.99
19,WTI,8.4600000381,8.4600000381,8.7799997330,8.2200002670,4517500,1.3560175232,1.3567039465,0.99
20,TWI,18.2700004578,17.8199996948,18.7000007629,17.6000003815,514600,1.2805662269,1.2812144564,0.99
21,VOC,8.6400003433,8.3000001907,8.6400003433,8.1999998093,178000,1.2804676559,1.2811158355,0.99
