,symbol,open,close,high,low,volume,relative_strength,relative_strength_sp500,rank
0,SRRA,54.8499984741,54.8800010681,54.9199981689,54.7999992371,117100,1.5341077329,1.4851855561,1.00
1,RCMT,25.1100006104,24.7199993134,25.2800006866,23.3099994659,187500,2.2857997925,2.2129064103,1.00
2,CEIX,52.9099998474,52.9099998474,54.2400016785,51.2200012207,542700,1.4481893032,1.4489223477,1.00
3,PVL,5.4000000954,5.6799998283,5.6900000572,5.4000000954,477100,1.5862694140,1.5870723519,1.00
4,CRK,19.7900009155,20.0599994659,20.4699993134,19.4500007629,2188000,1.5643908817,1.5651827452,1.00
5,AR,45.0900001526,45.0800018311,45.9599990845,43.6500015259,6667807,1.4856532808,1.4864052888,1.00
6,BORR,6.1500000954,6.1100001335,6.4200000763,5.8800001144,945900,1.5535919105,1.5543783077,1.00
7,HPK,34.8699989319,35.7599983215,36.5169982910,33.7500000000,355300,1.5433477034,1.4941308672,1.00
8,BPT,24.1399993896,24.8299999237,25.8299999237,23.5100002289,679000,2.0086444688,2.0096612045,1.00
9,HPKEW,24.8799991608,23.0799999237,24.8799991608,23.0799999237,900,2.0323950397,1.9675826493,1.00
10,HDSN,9.6300001144,9.7200002670,9.8199996948,9.3199996948,1030300,1.5171081745,1.4687281080,1.00
11,AMR,164.1399993896,159.9499969482,168.5399932861,156.7100067139,767188,1.7817980126,1.7826999232,1.00
12,BTU,25.5400009155,26.0799999237,27.1569995880,25.1499996185,4255600,1.5672849241,1.5680782524,1.00
13,SJT,13.2600002289,13.4499998093,14.0100002289,12.9700002670,1251300,1.4906897514,1.4914443088,1.00
14,STNG,35.0200004578,37.0299987793,37.3499984741,35.0200004578,1323100,1.4432587515,1.4439893003,1.00
15,MIC,3.7999999523,3.8099999428,3.8199999332,3.7799999714,1930300,3.7585589154,3.7604614229,1.00
16,PBT,22.1200008392,21.3400001526,23.0799999237,20.7399997711,535000,1.5873047964,1.5881082584,1.00
17,SD,26.0000000000,26.8700008392,27.3799991608,25.6000003815,906500,1.5511935875,1.5519787707,1.00
18,SWN,9.1899995804,9.1000003815,9.3400001526,8.8800001144,37449600,1.2841614025,1.2848114193,0.99
19,SOGU,54.4199981689,56.1599998474,56.1599998474,53.2200012207,32700,1.3641842485,1.3206808742,0.99
20,SMHI,8.6599998474,8.5399999619,8.9399995804,8.5000000000,48900,1.3049196854,1.3055802097,0.99
21,SM,51.0000000000,50.5600013733,52.3899993896,49.2799987793,1388200,1.2895746135,1.2902273704,0.99
22,SGML,16.0000000000,17.0300006866,17.0599994659,15.6199998856,294000,1.4864360300,1.4390340878,0.99
23,BLU,8.0100002289,8.1000003815,8.1599998474,7.7699999809,598800,1.3234900966,1.2812844450,0.99
24,SBR,85.4700012207,83.3199996948,86.7900009155,81.0400009155,121700,1.3208718582,1.3215404571,0.99
25,VRTV,145.8999938965,143.2400054932,147.7299957275,142.9700012207,80400,1.2764959686,1.2771421054,0.99
26,SBOW,44.7500000000,45.6399993896,46.1100006104,43.5999984741,258300,1.3384703392,1.3391478462,0.99
27,RRC,34.5999984741,34.4399986267,35.3800010681,33.5000000000,3669200,1.2829868408,1.2836362632,0.99
28,ROCC,49.7400016785,49.6800003052,51.0400009155,47.5999984741,817000,1.3128175515,1.2709522438,0.99
29,VLO,142.0000000000,140.5099945068,143.3200073242,138.3899993896,4770800,1.3025062618,1.3025062618,0.99
30,RENN,29.3899993896,28.9799995422,29.3899993896,28.6200008392,102400,1.3909547391,1.3916588126,0.99
31,VHI,50.0000000000,47.3800010681,50.0000000000,45.7999992371,57900,1.3768455726,1.3775425044,0.99
32,CHKEL,69.3499984741,70.6299972534,71.1399993896,67.6800003052,51600,1.4360274806,1.3902330500,0.99
33,CHKEW,77.5400009155,79.0999984741,79.5999984741,76.4199981689,12700,1.3839166302,1.3397839969,0.99
34,CHKEZ,72.9100036621,74.6100006104,74.8600006104,72.3899993896,5500,1.4149103166,1.3697893052,0.99
